genus_species,type,fisheries_status,diet,common_name,body_shape,functional_group,colour
Acanthaluteres brownii,Teleost,Target,Omnivore,Spiny-tailed leatherjacket,short and / or deep,reef-associated,NA
Acanthaluteres spilomelanurus,Teleost,Target,Omnivore,Bridled leatherjacket,short and / or deep,demersal,NA
Acanthaluteres vittiger,Teleost,Target,Omnivore,Toothbrush leatherjacket,short and / or deep,demersal,NA
Achoerodus gouldii,Teleost,Target,Carnivore,Western blue groper,fusiform / normal,reef-associated,NA
Argyrosomus japonicus,Teleost,Target,Carnivore,Mulloway,fusiform / normal,benthopelagic,NA
Anoplocapros amygdaloides,Teleost,Non-target,Carnivore,Western smooth boxfish,short and / or deep,demersal,NA
Anoplocapros lenticularis,Teleost,Non-target,Carnivore,White-barred boxfish,short and / or deep,demersal,NA
Aplodactylus arctidens,Teleost,Non-target,Herbivore,Marblefish,elongated,reef-associated,NA
Aptychotrema vincentiana,Chondrichthyes,Non-target,Carnivore,Western shovelnose ray,other,demersal,NA
Aracana aurita,Teleost,Non-target,Carnivore,Shaws cowfish,short and / or deep,demersal,NA
Aracana ornata,Teleost,Non-target,Carnivore,Ornate cowfish,short and / or deep,demersal,#FDA700
Arripis georgianus,Teleost,Target,Carnivore,Australian herring,fusiform / normal,pelagic-neritic,NA
Arripis truttaceus,Teleost,Target,Carnivore,Western Australian salmon,fusiform / normal,benthopelagic,#E1E2E4
Asymbolus vincenti,Chondrichthyes,Non-target,Carnivore,Gulf catshark,elongated,reef-associated,NA
Atherinidae spp,Teleost,Non-target,Planktivore,Hardyhead,elongated,pelagic-neritic,NA
Austrolabrus maculatus,Teleost,Non-target,Carnivore,Black-spotted wrasse,short and / or deep,reef-associated,NA
Bathytoshia brevicaudata,Chondrichthyes,By-catch,Carnivore,Smooth ray,other,demersal,NA
Bodianus frenchii,Teleost,Target,Carnivore,Foxfish,fusiform / normal,reef-associated,NA
Brachaluteres jacksonianus,Teleost,Non-target,Omnivore,Southern Pygmy leatherjacket,short and / or deep,reef-associated,NA
Caesioperca lepidoptera,Teleost,Target,Planktivore,Butterfly perch,short and / or deep,demersal,NA
Caesioperca rasor,Teleost,Target,Planktivore,Barber perch,fusiform / normal,demersal,NA
Callorhinchus milii,Chondrichthyes,Target,Carnivore,Elephant fish,elongated,demersal,NA
Carcharhinus brachyurus,Chondrichthyes,Target,Carnivore,Bronze whaler,fusiform / normal,reef-associated,NA
Carcharodon carcharias,Chondrichthyes,Non-target,Carnivore,White shark,fusiform / normal,pelagic-oceanic,NA
Centroberyx gerrardi,Teleost,Target,Carnivore,Bight redfish,fusiform / normal,demersal,NA
Centroberyx lineatus,Teleost,Target,Carnivore,Swallowtail,fusiform / normal,benthopelagic,NA
Chelmonops curiosus,Teleost,Non-target,Carnivore,Western talma,short and / or deep,reef-associated,NA
Chirodactylus spectabilis,Teleost,Target,Carnivore,Banded morwong,short and / or deep,demersal,NA
Chironemus georgianus,Teleost,Target,Herbivore,Western kelpfish,fusiform / normal,demersal,NA
Chironemus maculosus,Teleost,Non-target,Herbivore,Silver spot,fusiform / normal,reef-associated,NA
Chrysophrys auratus,Teleost,Target,Carnivore,Snapper,short and / or deep,reef-associated,#A9263B
Coris auricularis,Teleost,Non-target,Carnivore,Western king wrasse,fusiform / normal,reef-associated,NA
Dactylophora nigricans,Teleost,Target,Omnivore,Dusky morwong,elongated,reef-associated,NA
Dinolestes lewini,Teleost,Target,Carnivore,Longfin pike,elongated,pelagic-neritic,#2242B4
Diodon nicthemerus,Teleost,Non-target,Carnivore,Globefish,short and / or deep,reef-associated,NA
Dotalabrus aurantiacus,Teleost,Non-target,Carnivore,Castelnau's wrasse,Elongated,demersal,NA
Enoplosus armatus,Teleost,Non-target,Carnivore,Old wife,elongated,reef-associated,NA
Eubalichthys bucephalus,Teleost,Target,Omnivore,Black reef leatherjacket,short and / or deep,demersal,NA
Eubalichthys cyanoura,Teleost,Target,Omnivore,Bluetail leatherjacket,short and / or deep,reef-associated,NA
Eubalichthys gunnii,Teleost,Target,Omnivore,Gunn's leatherjacket,short and / or deep,demersal,NA
Eubalichthys mosaicus,Teleost,Target,Omnivore,Mosaic leatherjacket,short and / or deep,reef-associated,NA
Eupetrichthys angustipes,Teleost,Non-target,Carnivore,Snakeskin wrasse,Elongated,demersal,NA
Furgaleus macki,Chondrichthyes,Target,Carnivore,Whiskery shark,elongated,demersal,NA
Galeorhinus galeus,Chondrichthyes,Target,Carnivore,School shark,elongated,benthopelagic,NA
Genypterus tigerinus,Teleost,Target,Carnivore,Rock ling,elongated,demersal,NA
Girella zebra,Teleost,By-catch,Herbivore,Zebra fish,short and / or deep,reef-associated,NA
Gobiesocidae spp,Teleost,Non-target,Omnivore,Clingfish,elongated,reef-associated,NA
Gobiidae spp,Teleost,Non-target,Omnivore,Goby,elongated,reef-associated,NA
Gymnapistes marmoratus,Teleost,Non-target,Carnivore,Soldier,fusiform / normal,demersal,NA
Gymnothorax prasinus,Teleost,Non-target,Carnivore,Green moray,eel-like,reef-associated,NA
Haletta semifasciata,Teleost,By-catch,Carnivore,Blue weed whiting,fusiform / normal,demersal,NA
Helcogramma decurrens,Teleost,Non-target,Omnivore,Black-throated triplefin,elongated,benthopelagic,NA
Heterodontus portusjacksoni,Chondrichthyes,Non-target,Carnivore,Port Jackson shark,elongated,demersal,NA
Heteroscarus acroptilus,Teleost,Non-target,Omnivore,Rainbow cale,fusiform / normal,reef-associated,NA
Hippocampus spp,Teleost,Non-target,Planktivore,Seahorse,elongated,reef-associated,NA
Hyperlophus vittatus,Teleost,Target,Planktivore,Sandy sprat,elongated,pelagic-neritic,NA
Hypoplectrodes nigroruber,Teleost,Target,Carnivore,Banded seaperch,fusiform / normal,reef-associated,NA
Hyporhamphus melanochir,Teleost,Target,Omnivore,Southern garfish,elongated,pelagic-neritic,NA
Iso rhothophilus,Teleost,Non-target,Planktivore,Surf sardine,elongated,pelagic-neritic,NA
Kyphosus sydneyanus,Teleost,By-catch,Herbivore,Silver drummer,short and / or deep,demersal,NA
Latropiscis purpurissatus,Teleost,Target,Carnivore,Sergeant baker,elongated,reef-associated,NA
Leptoichthys fistularius,Teleost,Non-target,Planktivore,Brushtail pipefish,eel-like,demersal,NA
Lotella rhacina,Teleost,Target,Carnivore,Rock cod,elongated,demersal,NA
Meuschenia australis,Teleost,Target,Omnivore,Southern leatherjacket,short and / or deep,reef-associated,NA
Meuschenia flavolineata,Teleost,Target,Omnivore,Yellow-striped leatherjacket,short and / or deep,reef-associated,NA
Meuschenia freycineti,Teleost,Target,Omnivore,Six-spined leatherjacket,short and / or deep,demersal,NA
Meuschenia galii,Teleost,Target,Omnivore,Blue-lined leatherjacket,short and / or deep,reef-associated,NA
Meuschenia hippocrepis,Teleost,Target,Omnivore,Horseshoe leatherjacket,short and / or deep,demersal,NA
Meuschenia scaber,Teleost,Target,Carnivore,Velvet leatherjacket,short and / or deep,demersal,NA
Meuschenia venusta,Teleost,Target,Omnivore,Stars and stripes leatherjacket,short and / or deep,reef-associated,NA
Monacanthidae juvenile,Teleost,Non-target,Omnivore,Leatherjacket juvenile,short and / or deep,reef-associated,#1CB4FB
Mustelus antarcticus,Chondrichthyes,Target,Carnivore,Gummy shark,elongated,demersal,NA
Myliobatis tenuicaudatus,Chondrichthyes,By-catch,Carnivore,Southern eagle ray,other,benthopelagic,NA
Neatypus obliquus,Teleost,Non-target,Planktivore,Footballer sweep,short and / or deep,reef-associated,NA
Nelusetta ayraud,Teleost,Target,Carnivore,Oceanjacket,short and / or deep,demersal,NA
Nemadactylus macropterus,Teleost,Target,Carnivore,Jackass morwong,fusiform / normal,demersal,NA
Nemadactylus valenciennesi,Teleost,Target,Carnivore,Queen snapper,fusiform / normal,demersal,NA
Neoodax balteatus,Teleost,Non-target,Carnivore,Little weed whiting,elongated,demersal,NA
Neosebastes bougainvillii,Teleost,Target,Carnivore,Gulf gurnard perch,short and / or deep,reef-associated,NA
Neosebastes pandus,Teleost,Target,Carnivore,Bighead gurnard perch,short and / or deep,reef-associated,NA
Neosebastes scorpaenoides,Teleost,Target,Carnivore,Common gurnard perch,short and / or deep,reef-associated,NA
Notolabrus fucicola,Teleost,Non-target,Carnivore,Purple wrasse,fusiform / normal,reef-associated,NA
Notolabrus parilus,Teleost,Non-target,Carnivore,Brownspotted wrasse,fusiform / normal,reef-associated,NA
Notolabrus tetricus,Teleost,Target,Carnivore,Bluethroat wrasse,short and / or deep,reef-associated,NA
