"AB","Site","n","SpeciesRichness.Mean","SpeciesRichness.SE","FamilyRichness.Mean","FamilyRichness.SE","TotalAbundance.Mean","TotalAbundance.SE","demersal.Mean","demersal.SE","reef-associated.Mean","reef-associated.SE","NA.x.Mean","NA.x.SE","benthopelagic.Mean","benthopelagic.SE","pelagic-neritic.Mean","pelagic-neritic.SE","pelagic-oceanic.Mean","pelagic-oceanic.SE","Carnivore.Mean","Carnivore.SE","Omnivore.Mean","Omnivore.SE","Planktivore.Mean","Planktivore.SE","NA.y.Mean","NA.y.SE","Herbivore.Mean","Herbivore.SE","Chondrichthyes.Mean","Chondrichthyes.SE","Invertebrate.Mean","Invertebrate.SE","Teleost.Mean","Teleost.SE","n.Mean","n.SE"
"Pre-AB","North control",24,8.66666666666667,0.432663919957339,6.91666666666667,0.389707557889667,43.5,10.2579061060803,4.875,0.296797520400596,0.75,0.162074414828587,1.83333333333333,0.115260679134687,0.375,0.117530446255859,0.75,0.162074414828587,0.0833333333333333,0.0576303395673437,4.16666666666667,0.393178549746392,2.20833333333333,0.180369655320363,0.25,0.0902893898143269,1.79166666666667,0.120071938984098,0.25,0.0902893898143269,0.875,0.151232856256814,1.79166666666667,0.120071938984098,6,0.399274704752345,24,
"Pre-AB","Oyster Reef",24,5.70833333333333,0.572558353037357,4.75,0.381881307912987,43.75,11.9923360188249,2.20833333333333,0.350874511336053,0.833333333333333,0.177203177690398,1.54166666666667,0.14718575794891,0.583333333333333,0.102798992457327,0.375,0.132047696696681,0.166666666666667,0.0777087340200262,3.08333333333333,0.365726726733695,1,0.240771706171538,0.0833333333333333,0.0576303395673437,1.5,0.134595475514541,0.0416666666666667,0.0416666666666667,0.375,0.117530446255859,1.5,0.134595475514541,3.83333333333333,0.530472399078006,24,
"Pre-AB","South control",24,8.95833333333333,0.47958000445841,7.625,0.379800195373564,37.9583333333333,7.34735463749247,5.08333333333333,0.323682763521579,1.33333333333333,0.166666666666667,1.45833333333333,0.134314775572898,0.375,0.100946606635906,0.583333333333333,0.102798992457327,0.125,0.0689596605459213,5.5,0.366139278164052,1.70833333333333,0.203939166358204,0.166666666666667,0.0777087340200262,1.41666666666667,0.119125233498359,0.166666666666667,0.0777087340200262,1.375,0.188553801955527,1.41666666666667,0.119125233498359,6.16666666666667,0.359481645067028,24,
"Pre-AB","Overall",72,7.77777777777778,0.332876578037382,6.43055555555556,0.262277843163376,41.7361111111111,5.72901331183762,4.05555555555556,0.241351898691336,0.972222222222222,0.100803156199466,1.61111111111111,0.0780121663888233,0.444444444444444,0.0622004209515092,0.569444444444444,0.0786883596076952,0.125,0.0392491141014225,4.25,0.24365982341405,1.63888888888889,0.133135938911599,0.166666666666667,0.0442287410361896,1.56944444444444,0.0735485236037504,0.152777777777778,0.0426972190266123,0.875,0.100735751874845,1.56944444444444,0.0735485236037504,5.33333333333333,0.278324969653092,,
